1665198883 0 0 1
1665199131 1 0 1
1665204490 2 0 1
1665242787 3 0 1
1665246524 4 0 1
1665248720 5 0 1
1665369874 6 0 1
1665451863 7 0 1
1665452807 8 0 1
1666239458 9 0 1
1666240031 10 0 1
1666327193 11 0 1
1666407979 12 0 1
1666409106 13 0 1
1666416433 14 0 1
1666416795 15 0 1
1666417130 16 0 1
1666418096 17 0 1
1666452770 18 0 1
1666455465 19 0 1
1666467769 20 0 1
1666477639 21 0 1
1666555164 22 0 1
1666555574 23 0 1
1666663938 24 0 1
1667003317 25 0 1
1667006669 26 0 1
1667007970 27 0 1
1667060736 27 1 1
1667063226 28 1 1
1667063888 29 1 1
1667065205 30 1 1
1667065389 30 2 1
1667274459 31 2 1
1667347697 32 2 1
1667348529 33 2 1
1667348546 34 2 1
1667434612 35 2 1
1667434993 36 2 1
1667436057 37 2 1
1667439111 38 2 1
